galaxy,coef_a,coef_b,coef_c
ngc5068,8.621400240809099e-06,0.4812023421317757,0.3926838839939803
ic5332,1.2483454199951152e-11,0.9685586783739036,0.769989893565633
ngc628,2.6597291499773725e-09,0.7901189479389557,0.5697534041914324
ngc3351,1.2185516127560438e-10,0.8992128062671302,0.7143112119860594
ngc3627,1.5854959540402409e-06,0.5724999494715893,0.20495500340958434
ngc2835,1.702228747102622e-09,0.809980088303873,0.6852821080719608
ngc4254,5.49345319715662e-09,0.7709437708771378,0.522810022307694
ngc4321,2.539689511573827e-07,0.6377241200803225,0.30425910151659485
ngc4535,1.393172885426059e-10,0.8987617597081866,0.8064072050931363
ngc1087,9.722563887730856e-09,0.7529662785901365,0.5975417742037651
ngc4303,1.0151629120473712e-07,0.6670545221941105,0.4598206309072603
ngc1385,8.702353661262767e-11,0.9234629418892284,0.7465158300725975
ngc1566,3.391100772241826e-08,0.7178746411294603,0.6144320901370519
ngc1433,1.9058643217564526e-11,0.9565763055308503,0.7041050496774984
ngc7496,1.940069619448772e-09,0.8187411939838015,0.6196303583727688
ngc1512,6.091774641676121e-14,1.1770079687768737,0.7469780308686536
ngc1300,1.5590703017311491e-13,1.135103268684597,0.8472894755258568
ngc1672,1.5171978911957003e-09,0.8129788864752736,0.718358608365207
ngc1365,3.098932511897325e-07,0.6396674829730815,0.432865912013359
