galaxy,5_sig_4p_F300M,5_sig_4p_F300M_bkg_sub,5_sig_4p_F300M_bkg_sub_clip,F300M_ab_4p,F300M_ab_4p_bkg_sub,F300M_ab_4p_bkg_sub_clip,F300M_ab_4p_median,F300M_ab_4p_5median,5_sig_4p_F335M,5_sig_4p_F335M_bkg_sub,5_sig_4p_F335M_bkg_sub_clip,F335M_ab_4p,F335M_ab_4p_median,F335M_ab_4p_5median,F335M_ab_4p_bkg_sub,F335M_ab_4p_bkg_sub_clip,5_sig_4p_F200W,5_sig_4p_F200W_bkg_sub,5_sig_4p_F200W_bkg_sub_clip,F200W_ab_4p,F200W_ab_4p_median,F200W_ab_4p_5median,F200W_ab_4p_bkg_sub,F200W_ab_4p_bkg_sub_clip
ngc5068,8.34E-13,8.34E-13,3.87E-13,24.09746654,24.09746654,24.93168195,26.64352347,24.89609845,9.77E-13,9.77E-13,2.84E-13,23.92558857,26.39086757,24.64344256,23.92558857,25.26651734,4.13E-13,4.13E-13,1.53E-13,24.85980453,26.69390496,24.94647995,24.85980453,25.93543732
ic5332,4.11E-13,4.11E-13,2.51E-13,24.86492301,24.86492301,25.40141806,nan,nan,4.11E-13,4.11E-13,2.12E-13,24.86423398,30.93539875,29.18797374,24.86423398,25.58512745,2.03E-13,2.03E-13,9.78E-14,25.63230355,28.57759304,26.83016803,25.63230355,26.42464419
ngc628,1.50E-12,1.50E-12,5.79E-13,23.45681328,23.45681328,24.494035,26.72295498,24.97552997,1.44E-12,1.44E-12,4.59E-13,23.50195387,26.71448075,24.96705574,23.50195387,24.74668878,5.37E-13,5.37E-13,2.55E-13,24.57433081,26.35642744,24.60900243,24.57433081,25.38529903
ngc3351,1.78E-12,1.78E-12,4.91E-13,23.27544103,23.27544103,24.67268158,26.48733077,24.73990576,1.80E-12,1.80E-12,4.27E-13,23.26455371,25.85529543,24.10787042,23.26455371,24.82324652,8.74E-13,8.74E-13,2.55E-13,24.04643042,25.88144819,24.13402318,24.04643042,25.38499684
ngc3627,4.31E-12,4.31E-12,1.09E-12,22.31369277,22.31369277,23.80968323,,,5.99E-12,5.99E-12,1.14E-12,21.95654119,24.66735814,22.91993312,21.95654119,23.75388397,1.60E-12,1.60E-12,5.33E-13,23.39230898,24.80914812,23.06172311,23.39230898,24.58303548
ngc2835,1.16E-12,1.16E-12,3.37E-13,23.73444046,23.73444046,25.08108227,nan,nan,1.25E-12,1.25E-12,3.96E-13,23.65415518,29.98753159,28.24010658,23.65415518,24.9058525,4.92E-13,4.92E-13,1.62E-13,24.66989947,27.24424801,25.496823,24.66989947,25.87570246
ngc4254,1.85E-12,1.85E-12,4.91E-13,23.23488372,23.23488372,24.67142894,25.94688789,24.19946288,1.84E-12,1.84E-12,4.53E-13,23.23818893,25.79089453,24.04346952,23.23818893,24.7595396,7.65E-13,7.65E-13,2.09E-13,24.19124599,26.42521245,24.67778744,24.19124599,25.59916994
ngc4321,1.85E-12,1.85E-12,4.93E-13,23.23186716,23.23186716,24.6678194,26.83610417,25.08867916,1.77E-12,1.77E-12,5.96E-13,23.28155771,27.48852063,25.74109562,23.28155771,24.46111101,8.05E-13,8.05E-13,2.86E-13,24.13624026,26.09372601,24.346301,24.13624026,25.25880759
ngc4535,1.40E-12,1.40E-12,4.72E-13,23.5363164,23.5363164,24.71409506,28.66903929,26.92161428,1.00E-12,1.00E-12,4.35E-13,23.89664813,29.88769693,28.14027192,23.89664813,24.80392857,5.33E-13,5.33E-13,2.68E-13,24.58274396,26.77290595,25.02548094,24.58274396,25.32885567
ngc1087,1.10E-12,1.10E-12,2.76E-13,23.79760912,23.79760912,25.29962139,nan,nan,1.45E-12,1.45E-12,2.49E-13,23.49298846,28.38406822,26.63664321,23.49298846,25.40785959,5.16E-13,5.16E-13,1.19E-13,24.61815047,27.03495787,25.28753286,24.61815047,26.21264165
