Galaxy   F547M      F657N       F550M     F658N
IC1954 0.04361028 0.03343356 0.04214869 0.03329958
IC5332 0.04460142 0.03419342 0.04310661 0.03405638
NGC628 0.18633484 0.1428525  0.18008985 0.14228   
NGC0685 0.06145085 0.04711093 0.05939133 0.04692213
NGC1087 0.09217628 0.0706664  0.089087   0.07038319
NGC1097 0.07136228 0.05470947 0.06897058 0.05449021
NGC1300 0.08028256 0.06154815 0.07759191 0.06130149
NGC1317 0.05550399 0.04255181 0.05364379 0.04238128
NGC1365 0.05451285 0.04179196 0.05268586 0.04162447
NGC1385 0.05352171 0.0410321  0.05172794 0.04086766
NGC1433 0.02378743 0.01823649 0.02299019 0.0181634 
NGC1512 0.027752   0.0212759  0.02682189 0.02119064
NGC1559 0.07929142 0.0607883  0.07663398 0.06054468
NGC1566 0.02378743 0.01823649 0.02299019 0.0181634 
NGC1672 0.06145085 0.04711093 0.05939133 0.04692213
NGC1792 0.05946856 0.04559122 0.05747549 0.04540851
NGC2775 0.11497256 0.08814303 0.11111927 0.08778979
NGC2835 0.26562625 0.2036408  0.25672383 0.20282469
NGC2903 0.08226485 0.06306786 0.07950775 0.06281511
NGC3351 0.07334456 0.05622918 0.07088643 0.05600383
NGC3621 0.21507798 0.16488826 0.20786967 0.16422745
NGC3627 0.08920285 0.06838684 0.08621323 0.06811277
NGC4254 0.10307885 0.07902479 0.09962417 0.07870809
NGC4298 0.09415856 0.07218611 0.09100285 0.07189681
NGC4303 0.05946856 0.04559122 0.05747549 0.04540851
NGC4321 0.06937999 0.05318976 0.06705473 0.0529766 
NGC4535 0.05153942 0.03951239 0.04981209 0.03935404
NGC4536 0.04856599 0.03723283 0.04693831 0.03708362
NGC4548 0.10109656 0.07750508 0.09770833 0.07719447
NGC4569 0.12488399 0.09574157 0.12069852 0.09535787
NGC4571 0.1229017  0.09422186 0.11878267 0.09384426
NGC4654 0.06937999 0.05318976 0.06705473 0.0529766 
NGC4689 0.06045971 0.04635108 0.05843341 0.04616532
NGC4826 0.11001684 0.08434377 0.10632965 0.08400575
NGC5068 0.27256425 0.20895978 0.26342931 0.20812234
NGC5248 0.06541542 0.05015035 0.06322303 0.04994936
NGC6744 0.11398142 0.08738318 0.11016135 0.08703298
NGC7496 0.02576971 0.0197562  0.02490604 0.01967702
